run_id,timestamp,cpu_model,cpu_cores,cpu_frequency,total_ram,gpu_model,operating_system,drl_algorithm,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,cumulative_reward_mean,time_elapased_seconds
max-standart-0,2025-11-18T18:16:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,644.0
max-standart-1,2025-11-18T18:27:06Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1279.0
max-standart-2,2025-11-18T18:48:31Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,607.0
max-standart-3,2025-11-18T18:58:44Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,705.0
max-standart-4,2025-11-18T19:10:35Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,97.6154,877.0
max-hiddenunits16-config1-0,2025-11-28T13:21:38Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,1,0.99,500000,1000,100.000015,2839.0
max-hiddenunits16-config1-1,2025-11-28T14:09:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,1,0.99,500000,1000,100.000015,818.0
max-hiddenunits16-config1-2,2025-11-28T14:22:56Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,1,0.99,500000,1000,100.000015,640.0
max-hiddenunits16-config1-3,2025-11-30T20:56:20Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,1,0.99,500000,1000,100.000015,917.0
max-hiddenunits32-config1-0,2025-11-28T14:35:40Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,1,0.99,500000,1000,100.000015,703.0
max-hiddenunits32-config1-1,2025-11-28T14:47:36Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,1,0.99,500000,1000,100.000015,599.0
max-hiddenunits32-config1-2,2025-11-28T14:57:39Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,1,0.99,500000,1000,100.000015,477.0
max-hiddenunits64-config1-0,2025-11-28T15:05:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,1,0.99,500000,1000,92.35386,480.0
max-hiddenunits64-config1-1,2025-11-28T15:13:49Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,1,0.99,500000,1000,100.000015,544.0
max-hiddenunits64-config1-2,2025-11-28T15:22:58Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,1,0.99,500000,1000,100.000015,450.0
max-hiddenunits128-config1-0,2025-11-28T20:50:02Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,500000,1000,100.000015,757.0
max-hiddenunits128-config1-1,2025-11-28T21:02:51Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,500000,1000,100.000015,762.0
max-hiddenunits128-config1-2,2025-11-28T21:15:43Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,500000,1000,100.000015,583.0
max-hiddenunits256-config1-0,2025-11-28T21:25:34Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,500000,1000,100.000015,782.0
max-hiddenunits256-config1-1,2025-11-28T21:38:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,500000,1000,100.000015,744.0
max-hiddenunits256-config1-2,2025-11-28T21:51:13Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,500000,1000,100.000015,1351.0
max-hiddenunits512-config1-0,2025-11-28T22:13:52Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,500000,1000,100.000015,705.0
max-hiddenunits512-config1-0,2025-11-28T22:25:46Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,500000,1000,100.000015,658.0
max-hiddenunits512-config1-1,2025-11-28T22:36:56Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,500000,1000,100.000015,520.0
max-hiddenunits512-config1-2,2025-11-28T22:45:43Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,500000,1000,100.000015,544.0
max-hiddenunits16-config2-0,2025-11-28T23:06:59Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,3,0.99,100000,1000,2.723567,125.0
max-hiddenunits16-config2-1,2025-11-28T23:09:09Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,3,0.99,100000,1000,6.596796,124.0
max-hiddenunits16-config2-2,2025-11-28T23:11:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,3,0.99,100000,1000,3.424528,129.0
max-hiddenunits32-config2-0,2025-11-28T23:13:31Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,3,0.99,100000,1000,14.315587,113.0
max-hiddenunits32-config2-1,2025-11-28T23:15:29Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,3,0.99,100000,1000,9.749075,130.0
max-hiddenunits32-config2-2,2025-11-28T23:17:43Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,3,0.99,100000,1000,11.831113,118.0
max-hiddenunits64-config2-0,2025-11-28T23:19:45Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,3,0.99,100000,1000,50.478269,122.0
max-hiddenunits64-config2-1,2025-11-28T23:21:51Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,3,0.99,100000,1000,21.698117,123.0
max-hiddenunits64-config2-2,2025-11-28T23:23:59Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,3,0.99,100000,1000,28.174363,130.0
max-hiddenunits128-config2-0,2025-11-28T23:26:13Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,3,0.99,100000,1000,36.537506,139.0
max-hiddenunits128-config2-1,2025-11-28T23:28:37Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,3,0.99,100000,1000,38.036673,140.0
max-hiddenunits128-config2-2,2025-11-28T23:31:01Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,3,0.99,100000,1000,53.866675,134.0
max-hiddenunits256-config2-0,2025-11-28T23:33:19Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,3,0.99,100000,1000,50.675007,141.0
max-hiddenunits256-config2-1,2025-11-28T23:35:44Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,3,0.99,100000,1000,38.920696,143.0
max-hiddenunits256-config2-2,2025-11-28T23:38:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,3,0.99,100000,1000,43.825007,140.0
max-hiddenunits512-config2-0,2025-11-28T23:40:35Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,3,0.99,100000,1000,56.185724,167.0
max-hiddenunits512-config2-1,2025-11-28T23:43:27Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,3,0.99,100000,1000,78.920012,163.0
max-hiddenunits512-config2-2,2025-11-28T23:46:15Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,3,0.99,100000,1000,33.605561,199.0
max-hiddenunits16-config3-0,2025-11-30T15:30:06Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,1,0.99,100000,1000,1.97282,210.0
max-hiddenunits16-config3-1,2025-11-30T15:33:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,1,0.99,100000,1000,2.220222,194.0
max-hiddenunits16-config3-2,2025-11-30T15:37:02Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16,1,0.99,100000,1000,2.020833,195.0
max-hiddenunits32-config3-0,2025-11-30T15:43:23Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,1,0.99,100000,1000,2.812704,125.0
max-hiddenunits32-config3-1,2025-11-30T15:45:33Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,1,0.99,100000,1000,3.727309,201.0
max-hiddenunits32-config3-2,2025-11-30T15:49:01Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,32,1,0.99,100000,1000,4.334842,195.0
max-hiddenunits64-config3-0,2025-11-30T15:52:21Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,1,0.99,100000,1000,6.885907,192.0
max-hiddenunits64-config3-1,2025-11-30T15:55:39Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,1,0.99,100000,1000,9.866057,192.0
max-hiddenunits64-config3-2,2025-11-30T15:59:01Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,1,0.99,100000,1000,4.420738,258.0
max-hiddenunits128-config3-0,2025-11-30T16:03:34Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,100000,1000,4.868501,285.0
max-hiddenunits128-config3-1,2025-11-30T16:08:31Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,100000,1000,6.202455,272.0
max-hiddenunits128-config3-2,2025-11-30T16:13:09Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,100000,1000,4.738648,276.0
max-hiddenunits256-config3-0,2025-11-30T16:18:00Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,100000,1000,7.296504,293.0
max-hiddenunits256-config3-1,2025-11-30T16:23:07Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,100000,1000,4.250893,295.0
max-hiddenunits256-config3-2,2025-11-30T16:28:16Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,100000,1000,7.004055,282.0
max-hiddenunits512-config3-0,2025-11-30T16:33:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,100000,1000,12.368891,294.0
max-hiddenunits512-config3-1,2025-11-30T16:38:18Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,1496.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,100000,1000,7.442858,292.0
max-hiddenunits512-config3-2,2025-11-30T16:43:24Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,100000,1000,9.630632,303.0
