run_id,timestamp,cpu_model,cpu_cores,cpu_frequency,total_ram,gpu_model,operating_system,drl_algorithm,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,cumulative_reward_mean,time_elapased_seconds
run_batch_size1_buffer_size100,2026-01-14T12:34:17Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,57.290008,275.000
run_batch_size1_buffer_size2500,2026-01-14T12:38:55Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,2500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,77.166679,269.000
run_batch_size1_buffer_size4900,2026-01-14T12:43:27Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,4900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,24.504448,271.000
run_batch_size1_buffer_size7300,2026-01-14T12:48:01Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,7300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,8.278401,263.000
run_batch_size1_buffer_size9700,2026-01-14T12:52:28Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,9700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,2.932550,309.000
run_batch_size1_buffer_size12100,2026-01-14T12:57:42Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,12100,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.868317,314.000
run_batch_size1_buffer_size14500,2026-01-14T13:03:00Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,14500,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.866420,298.000
run_batch_size1_buffer_size16900,2026-01-14T13:08:02Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,16900,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.696503,237.000
run_batch_size1_buffer_size19300,2026-01-14T13:12:03Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,19300,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.717136,260.000
run_batch_size1_buffer_size21700,2026-01-14T13:16:28Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,1,21700,0.0003,0.0011,0.2,0.99,3,True,128,1,0.99,500000,1000,1.509348,299.000
