run_id,Time Elapsed/s,3DBall.Environment.CumulativeReward.mean,batch_size,learning_rate,CPU Model,Operating System,GPU Model,buffer_size,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule,timestamp,CPU Cores,CPU Frequency,Total RAM,DRL Algorithm Used,lambda,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon
1strun-test,0.0110023021697998,1.2063461542129517,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
2ndrun-test,13.85291028022766,1.2289320230484009,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
baseline-test,466.4559035301209,100.00001525878906,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
CSV_Repair_Test,106.25873517990112,61.11579895019531,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
Long_Baseline,1653.1768026351929,100.00001525878906,1024,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
Long_HighBatch#,1682.1451795101166,69.12354278564453,2048,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
Long_HighLR,42.37005496025085,2.2850704193115234,64,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
Long_LowLR,1937.575988531113,2.0656991004943848,1024,1e-05,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
Short_HighBatch,421.3858735561371,83.28001403808594,2048,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
Short_LowLR,523.7634398937225,3.011986255645752,64,1e-05,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000,0.001,0.2,0.99,3,False,linear,linear,linear,,,,,,,,,,,,
max-standart-0,644.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-18T18:16:17Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,2.0,0.99,500000.0,1000.0
max-standart-1,1279.0,100.000015,64,0.0003,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",Windows 10,Unknown GPU,12000,0.001,0.2,,3,,,,,2025-11-18T18:27:06Z,14.0,2600.00 MHz,15.63 GB,PPO,0.99,True,128.0,2.0,0.99,500000.0,1000.0
