run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
1strun-test,2025-11-10T10:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,1.2063461542129517,0.0110023021697998
2ndrun-test,2025-11-10T11:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,1.2289320230484009,13.85291028022766
baseline-test,2025-11-10T12:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,100.00001525878906,466.4559035301209
CSV_Repair_Test,2025-11-10T13:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,61.11579895019531,106.25873517990112
Long_Baseline,2025-11-10T14:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,1024,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,100.00001525878906,1653.1768026351929
Long_HighBatch#,2025-11-10T15:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,2048,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,69.12354278564453,1682.1451795101166
Long_HighLR,2025-11-10T16:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,2.2850704193115234,42.37005496025085
Long_LowLR,2025-11-10T17:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,1024,12000,1e-05,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,2.0656991004943848,1937.575988531113
Short_HighBatch,2025-11-10T18:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,2048,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,83.28001403808594,421.3858735561371
Short_LowLR,2025-11-10T19:00:00Z,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",8.0,3000.00 MHz,16.00 GB,Unknown GPU,Windows 10,PPO,64,12000,1e-05,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,64.0,3.011986255645752,523.7634398937225
max-standart-0,2025-11-18T18:16:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,1000.0,100.000015,644.0
max-standart-1,2025-11-18T18:27:06Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,1000.0,100.000015,1279.0
max-standart-2,2025-11-18T18:48:31Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,1000.0,100.000015,607.0
max-standart-3,2025-11-18T18:58:44Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,1000.0,100.000015,705.0
max-standart-4,2025-11-18T19:10:35Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128.0,2.0,0.99,500000.0,1000.0,97.6154,877.0
max-hiddenunits16-config1-0,2025-11-28T13:21:38Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,1.0,0.99,500000.0,1000.0,100.000015,2839.0
max-hiddenunits16-config1-1,2025-11-28T14:09:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,1.0,0.99,500000.0,1000.0,100.000015,818.0
max-hiddenunits16-config1-2,2025-11-28T14:22:56Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,1.0,0.99,500000.0,1000.0,100.000015,640.0
max-hiddenunits16-config1-3,2025-11-30T20:56:20Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14.0,2600.00 MHz,15.63 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,16.0,1.0,0.99,500000.0,1000.0,100.000015,917.0
