batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,hidden_units,num_layers,time_horizon,max_steps,gamma,normalize,CPU Cores,Total RAM,TimeElapsed,CumulativeReward
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,0.0110023021697998,1.2063461542129517
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,13.85291028022766,1.2289320230484009
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,466.4559035301209,100.00001525878906
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,106.25873517990112,61.11579895019531
1024,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,1653.1768026351929,100.00001525878906
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,1682.1451795101166,69.12354278564453
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,42.37005496025085,2.2850704193115234
1024,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,1937.575988531113,2.0656991004943848
2048,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,421.3858735561371,83.28001403808594
64,12000,1e-05,0.001,0.2,0.99,3,128.0,2.0,64.0,500000.0,0.99,True,8.0,16.0,523.7634398937225,3.011986255645752
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63,644.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63,1279.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63,607.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63,705.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,14.0,15.63,877.0,97.6154
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,2839.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,818.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,16.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,640.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,703.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,599.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,32.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,477.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,480.0,92.35386
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,544.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,64.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,450.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,757.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,762.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,128.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,583.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,782.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,744.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,256.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,1351.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,705.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,658.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,520.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,512.0,1.0,1000.0,500000.0,0.99,True,14.0,15.63,544.0,100.000015
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,125.0,2.723567
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,124.0,6.596796
64,12000,0.0003,0.001,0.2,0.99,3,16.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,129.0,3.424528
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,113.0,14.315587
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,130.0,9.749075
64,12000,0.0003,0.001,0.2,0.99,3,32.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,118.0,11.831113
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,122.0,50.478269
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,123.0,21.698117
64,12000,0.0003,0.001,0.2,0.99,3,64.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,130.0,28.174363
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,139.0,36.537506
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,140.0,38.036673
64,12000,0.0003,0.001,0.2,0.99,3,128.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,134.0,53.866675
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,141.0,50.675007
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,143.0,38.920696
64,12000,0.0003,0.001,0.2,0.99,3,256.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,140.0,43.825007
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,167.0,56.185724
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,163.0,78.920012
64,12000,0.0003,0.001,0.2,0.99,3,512.0,3.0,1000.0,100000.0,0.99,True,14.0,15.63,199.0,33.605561
64,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,40.0,3.228986
128,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,32.0,3.264
64,6000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,32.785299
64,12000,0.0006,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,3.991526
64,12000,0.0003,0.002,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,33.0,2.925926
64,12000,0.0003,0.001,0.1,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,52.0,1.651835
64,12000,0.0003,0.001,0.1,0.99,3,128.0,4.0,1000.0,500000.0,0.99,True,8.0,15.14,36.0,1.971355
64,12000,0.0003,0.001,0.1,0.99,3,128.0,2.0,1000.0,100000.0,0.99,True,8.0,15.14,32.0,1.788221
64,12000,0.0003,0.001,0.1,0.99,3,128.0,2.0,500.0,50000.0,0.99,True,8.0,15.14,35.0,1.702797
64,11000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,4.072688
64,10000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,5.646328
64,9000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,37.0,10.938146
64,8000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,34.0,7.712215
64,7000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,22.908003
64,5000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,51.0,65.172232
64,4000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,33.0,84.84287
64,3000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,68.0,85.478584
64,2000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,46.0,89.128585
64,1000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,36.0,77.681262
60,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,32.0,3.104895
56,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,3.605883
52,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,35.0,4.910101
48,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,37.0,2.893
44,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,36.0,3.051211
40,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,40.0,4.581043
36,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,36.0,3.123944
32,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,39.0,3.089511
28,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,41.0,3.62874
24,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,37.0,3.165481
20,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,45.0,4.06638
16,12000,0.0003,0.001,0.2,0.99,3,128.0,2.0,1000.0,500000.0,0.99,True,8.0,15.14,55.0,3.837037
