run_id,Time Elapsed/s,3DBall.Environment.CumulativeReward.mean,batch_size,learning_rate,CPU Model,Operating System,GPU Model,buffer_size,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule
1strun-test,0,0,64.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
2ndrun-test,0,0,64.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
3dball-quickstart,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
3dball-test,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
3rd-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
ai-run1,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
baseline-test,0,0,64.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
CSV_Repair_Test,0,0,64.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
firewall-fix-test,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
fresh-start,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
fresh-start-2,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
fs-3,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
fs-5004,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
fs-6,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
fs-7,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
Long_Baseline,0,0,1024.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
Long_HighBatch#,0,0,2048.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
Long_HighLR,0,0,64.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
Long_LowLR,0,0,1024.0,1e-05,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
move-test,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
my-4th-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
my-5-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
my-6-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
my-7-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
my-first-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
my-second-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
my-third-run,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
package-JSON-test,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
Short_HighBatch,0,0,2048.0,0.0003,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
Short_LowLR,0,0,64.0,1e-05,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,12000.0,0.001,0.2,0.99,3.0,False,linear,linear,linear
test,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
testrun-test,0,0,,,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",Windows 10,Unknown GPU,,,,,,,,,
