run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
omar-run1,2025-11-23T09:48:38Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,300000,1000,100.000015,152.000
omar-run1,2025-11-23T09:48:38Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,1,0.99,300000,1000,100.000015,152.000
omar-run2,2025-11-23T09:51:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,300000,1000,98.958349,142.000
omar-run2,2025-11-23T09:51:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,300000,1000,98.958349,142.000
omar-run3,2025-11-23T09:53:45Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,256,1,0.99,300000,1000,100.000015,139.000
omar-run3,2025-11-23T09:53:45Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,256,1,0.99,300000,1000,100.000015,139.000
omar-run4,2025-11-23T09:56:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,500000,1000,100.000015,249.000
omar-run4,2025-11-23T09:56:11Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,512,1,0.99,500000,1000,100.000015,249.000
omar-run5,2025-11-23T10:00:26Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,500000,1000,100.000015,265.000
omar-run5,2025-11-23T10:00:26Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,256,1,0.99,500000,1000,100.000015,265.000
omar-run6,2025-11-23T10:04:58Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0001,0.001,0.2,0.99,3,True,256,1,0.99,500000,1000,100.000015,225.000
omar-run6,2025-11-23T10:04:58Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0001,0.001,0.2,0.99,3,True,256,1,0.99,500000,1000,100.000015,225.000
omar-run7,2025-11-23T10:08:50Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,512,1,0.99,400000,1000,100.000015,180.000
omar-run7,2025-11-23T10:08:50Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,512,1,0.99,400000,1000,100.000015,180.000
omar-run8,2025-11-23T10:11:57Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,96,12000,0.0003,0.001,0.2,0.99,3,True,384,1,0.99,400000,1000,100.000015,185.000
omar-run8,2025-11-23T10:11:57Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,96,12000,0.0003,0.001,0.2,0.99,3,True,384,1,0.99,400000,1000,100.000015,185.000
omar-run9,2025-11-23T10:15:09Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,2,0.99,300000,1000,100.000015,145.000
omar-run9,2025-11-23T10:15:09Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,2,0.99,300000,1000,100.000015,145.000
omar-run10,2025-11-23T10:17:40Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,300000,1000,100.000015,153.000
omar-run10,2025-11-23T10:17:40Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,300000,1000,100.000015,153.000
omar-run11,2025-11-23T10:20:20Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,255.000
omar-run11,2025-11-23T10:20:20Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,255.000
omar-run12,2025-11-23T10:24:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0003,0.001,0.2,0.99,3,True,256,2,0.99,500000,1000,100.000015,250.000
omar-run12,2025-11-23T10:24:42Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0003,0.001,0.2,0.99,3,True,256,2,0.99,500000,1000,100.000015,250.000
omar-run13,2025-11-23T10:28:58Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0001,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,253.000
omar-run13,2025-11-23T10:28:58Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0001,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,253.000
omar-run14,2025-11-23T10:33:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,128,2,0.99,300000,1000,100.000015,135.000
omar-run14,2025-11-23T10:33:17Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,128,2,0.99,300000,1000,100.000015,135.000
omar-run15,2025-11-23T10:35:39Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,96,12000,0.0003,0.001,0.2,0.99,3,True,192,2,0.99,400000,1000,100.000015,191.000
omar-run15,2025-11-23T10:35:39Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,96,12000,0.0003,0.001,0.2,0.99,3,True,192,2,0.99,400000,1000,100.000015,191.000
omar-run16,2025-11-23T10:38:57Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,256,2,0.99,400000,1000,100.000015,193.000
omar-run16,2025-11-23T10:38:57Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0005,0.001,0.2,0.99,3,True,256,2,0.99,400000,1000,100.000015,193.000
omar-run17,2025-11-23T10:42:16Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0002,0.001,0.2,0.99,3,True,128,2,0.99,600000,1000,100.000015,266.000
omar-run17,2025-11-23T10:42:16Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,128,12000,0.0002,0.001,0.2,0.99,3,True,128,2,0.99,600000,1000,100.000015,266.000
omar-run18,2025-11-23T10:46:49Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,32,12000,0.0005,0.001,0.2,0.99,3,True,64,2,0.99,300000,1000,85.942870,158.000
omar-run18,2025-11-23T10:46:49Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,32,12000,0.0005,0.001,0.2,0.99,3,True,64,2,0.99,300000,1000,85.942870,158.000
omar-run19,2025-11-23T10:49:34Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,3,0.99,300000,1000,100.000015,145.000
omar-run19,2025-11-23T10:49:34Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,64,3,0.99,300000,1000,100.000015,145.000
omar-run20,2025-11-23T10:52:05Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,3,0.99,300000,1000,100.000015,161.000
omar-run20,2025-11-23T10:52:05Z,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",14,2600.00 MHz,31.64 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,3,0.99,300000,1000,100.000015,161.000
