run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
rasto-1,2025-11-18T17:57:49Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1083.000
rasto-1,2025-11-18T18:29:26Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,,10.000
2,2025-11-18T18:30:00Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1358.000
3,2025-11-18T18:54:58Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,,67.000
4,2025-11-18T18:59:18Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1272.000
5,2025-11-18T19:27:17Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,98.483349,1057.000
6,2025-11-18T20:02:45Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1166.000
7,2025-11-18T20:56:24Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,95.169245,969.000
8,2025-11-18T22:08:59Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,98.858348,806.000
9,2025-11-18T22:22:40Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1068.000
10,2025-11-18T22:41:03Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1046.000
11,2025-11-18T23:09:51Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,94.323091,814.000
12,2025-11-19T00:13:18Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,,67.000
13,2025-11-19T00:16:06Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,942.000
14,2025-11-19T00:44:05Z,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",16,1400.00 MHz,31.70 GB,NVIDIA GeForce RTX 4060 Laptop GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,829.000
