run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s
robert-run1,2025-11-13T09:35:18Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,722.000
robert-run2,2025-11-13T10:11:47Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0006,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,798.000
robert-run3,2025-11-13T10:36:41Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.00015,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,912.000
robert-run4,2025-11-13T10:54:04Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0012,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,752.000
robert-run5,2025-11-13T11:11:08Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0024,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,737.000
robert-run6,2025-11-13T11:24:51Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0048,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,644.000
robert-run7,2025-11-13T11:48:03Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0048,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,817.000
robert-run8,2025-11-13T12:03:14Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0048,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,1038.000
robert-run9,2025-11-13T14:29:51Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,2000.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,766.000
robert-run10,2025-11-13T14:44:44Z,"Intel64 Family 6 Model 181 Stepping 0, GenuineIntel",12,1500.00 MHz,31.49 GB,Unknown GPU,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,100.000015,697.000
