TimeElapsed,CumulativeReward
0.0110023021697998,1.2063461542129517
13.85291028022766,1.2289320230484009
466.4559035301209,100.00001525878906
106.25873517990112,61.11579895019531
1653.1768026351929,100.00001525878906
1682.1451795101166,69.12354278564453
42.37005496025085,2.2850704193115234
1937.575988531113,2.0656991004943848
421.3858735561371,83.28001403808594
523.7634398937225,3.011986255645752
644.0,100.000015
1279.0,100.000015
607.0,100.000015
705.0,100.000015
877.0,97.6154
2839.0,100.000015
818.0,100.000015
640.0,100.000015
917.0,100.000015
703.0,100.000015
599.0,100.000015
477.0,100.000015
480.0,92.35386
544.0,100.000015
450.0,100.000015
757.0,100.000015
762.0,100.000015
583.0,100.000015
782.0,100.000015
744.0,100.000015
1351.0,100.000015
705.0,100.000015
658.0,100.000015
520.0,100.000015
544.0,100.000015
125.0,2.723567
124.0,6.596796
129.0,3.424528
113.0,14.315587
130.0,9.749075
118.0,11.831113
122.0,50.478269
123.0,21.698117
130.0,28.174363
139.0,36.537506
140.0,38.036673
134.0,53.866675
141.0,50.675007
143.0,38.920696
140.0,43.825007
167.0,56.185724
163.0,78.920012
199.0,33.605561
210.0,1.97282
194.0,2.220222
195.0,2.020833
125.0,2.812704
201.0,3.727309
195.0,4.334842
192.0,6.885907
192.0,9.866057
258.0,4.420738
285.0,4.868501
272.0,6.202455
276.0,4.738648
293.0,7.296504
295.0,4.250893
282.0,7.004055
294.0,12.368891
292.0,7.442858
303.0,9.630632
864.0,100.000015
679.0,100.000015
616.0,100.000015
709.0,100.000015
642.0,100.000015
557.0,100.000015
119.0,2.152989
128.0,2.625776
125.0,1.689535
125.0,3.621961
123.0,2.45638
120.0,2.313105
124.0,3.08125
122.0,3.816394
123.0,5.276596
122.0,4.172688
123.0,3.286546
117.0,5.748001
123.0,5.175917
120.0,11.753193
121.0,5.006092
116.0,5.764741
120.0,6.288344
115.0,5.593297
118.0,2.161035
116.0,2.074536
129.0,2.070448
122.0,2.55061
127.0,3.952941
116.0,2.535455
123.0,2.018961
121.0,1.799517
134.0,1.653563
122.0,5.88266
123.0,5.986391
121.0,4.450926
119.0,5.842775
116.0,18.524593
115.0,8.525001
119.0,11.678497
121.0,11.629034
121.0,22.239219
114.0,44.169237
115.0,55.955009
113.0,34.578793
119.0,31.535902
115.0,71.829423
118.0,36.356672
101.0,93.930784
122.0,93.161552
117.0,95.623091
118.0,92.900014
120.0,90.778586
119.0,17.930161
122.0,100.000015
118.0,93.25386
112.0,90.064299
117.0,78.162512
120.0,98.923092
121.0,94.707707
116.0,100.000015
117.0,95.991681
118.0,100.000015
119.0,100.000015
116.0,90.335728
121.0,98.961554
205.0,100.000015
222.0,100.000015
220.0,100.000015
40.0,3.228986
32.0,3.264
35.0,32.785299
35.0,3.991526
33.0,2.925926
52.0,1.651835
36.0,1.971355
32.0,1.788221
35.0,1.702797
35.0,4.072688
35.0,5.646328
37.0,10.938146
34.0,7.712215
35.0,22.908003
51.0,65.172232
