iter	RMSE
0	35.23469058
1	33.72054805
2	32.31128981
3	31.07309093
4	29.81250852
5	28.69829996
6	27.62760401
7	26.60032499
8	25.70463222
9	24.86134277
10	23.98016135
11	23.19255894
12	22.41281904
13	21.73983369
14	21.00736924
15	20.43039195
16	19.8596106
17	19.30101504
18	18.80854522
19	18.29073236
20	17.81732541
21	17.37154005
22	17.03440502
23	16.59242412
24	16.21543956
25	15.89461854
26	15.53992019
27	15.22641135
28	14.98058584
29	14.62159396
30	14.34521206
31	14.09537596
32	13.82794656
33	13.56516012
34	13.3622855
35	13.15828834
36	12.93546496
37	12.73700209
38	12.50637739
39	12.34091611
40	12.16757935
41	12.03271979
42	11.88004044
43	11.74270707
44	11.59648579
45	11.48023696
46	11.37200476
47	11.26256272
48	11.16049504
49	11.03414866
50	10.93867859
51	10.83897017
52	10.74188593
53	10.6275375
54	10.547952
55	10.4602728
56	10.40381188
57	10.34248196
58	10.26561497
59	10.19451346
60	10.11915516
61	10.0520857
62	9.998227498
63	9.953288419
64	9.844733109
65	9.796852574
66	9.750901797
67	9.676450351
68	9.615894708
69	9.556850936
70	9.500767013
71	9.466694647
72	9.399923981
73	9.350966912
74	9.329347378
75	9.278038295
76	9.23839997
77	9.204967524
78	9.17690267
79	9.116806498
80	9.086703219
81	9.02456463
82	9.004233989
83	8.975784915
84	8.939818156
85	8.892343175
86	8.853390051
87	8.786299046
88	8.752655353
89	8.728458993
90	8.689827504
91	8.639986044
92	8.619889551
93	8.607983514
94	8.553852224
95	8.48646119
96	8.468513725
97	8.405965379
98	8.356226315
99	8.321890808
100	8.305821144
101	8.255878685
102	8.240172064
103	8.234956439
104	8.214805415
105	8.201674166
106	8.189991071
107	8.178012679
108	8.144294144
109	8.132973104
110	8.098550944
111	8.088923598
112	8.058208326
113	8.0485159
114	8.008406442
115	7.984049778
116	7.943590434
117	7.933859265
118	7.924149175
119	7.918006517
120	7.889077306
121	7.836707673
122	7.82318106
123	7.814067551
124	7.807526991
125	7.800111978
126	7.736703275
127	7.69546715
128	7.693086862
129	7.646249979
130	7.631505695
131	7.623196094
132	7.613716203
133	7.57846853
134	7.576608304
135	7.572908772
136	7.565726289
137	7.561374009
138	7.547803926
139	7.519111859
140	7.497789816
141	7.494394329
142	7.48826726
143	7.484338886
144	7.477275333
145	7.473011044
146	7.43522772
147	7.433076158
148	7.392208183
149	7.391198879
150	7.376790937
151	7.33988417
152	7.323046613
153	7.289136008
154	7.27569353
155	7.267629902
156	7.250536155
