iter	Passed	Remaining
0	43	43768
1	86	43177
2	131	43635
3	174	43513
4	215	42879
5	257	42644
6	301	42753
7	344	42721
8	385	42402
9	429	42561
10	474	42699
11	517	42604
12	559	42456
13	599	42186
14	640	42061
15	683	42038
16	726	42004
17	783	42752
18	825	42642
19	867	42529
20	910	42459
21	952	42355
22	999	42461
23	1060	43130
24	1117	43567
25	1158	43410
26	1210	43617
27	1281	44496
28	1352	45300
29	1428	46180
30	1506	47095
31	1606	48605
32	1656	48544
33	1716	48779
34	1778	49032
35	1843	49365
36	1924	50098
37	1997	50561
38	2059	50742
39	2104	50509
40	2145	50173
41	2185	49856
42	2228	49588
43	2271	49351
44	2313	49103
45	2356	48882
46	2422	49123
47	2488	49354
48	2549	49474
49	2614	49667
50	2695	50164
51	2765	50421
52	2843	50813
53	2908	50948
54	2971	51050
55	3037	51211
56	3106	51394
57	3190	51815
58	3240	51684
59	3285	51469
60	3330	51261
61	3375	51065
62	3440	51170
63	3506	51288
64	3564	51280
65	3623	51281
66	3684	51307
67	3761	51555
68	3861	52099
69	3921	52096
70	4002	52373
71	4067	52422
72	4132	52479
73	4197	52522
74	4277	52754
75	4342	52795
76	4396	52702
77	4437	52459
78	4483	52265
79	4535	52157
80	4592	52108
81	4658	52152
82	4738	52347
83	4814	52496
84	4887	52617
85	4970	52820
86	5037	52867
87	5097	52830
88	5170	52923
89	5246	53050
90	5324	53184
91	5399	53291
92	5464	53296
93	5507	53084
94	5556	52931
95	5620	52927
96	5686	52932
97	5759	53013
98	5827	53036
99	5900	53105
100	5964	53085
101	6041	53191
102	6125	53347
103	6159	53066
104	6222	53036
105	6300	53137
106	6369	53156
107	6443	53221
108	6512	53236
109	6562	53094
110	6607	52915
111	6653	52754
112	6718	52738
113	6789	52764
114	6855	52759
115	6947	52943
116	7026	53028
117	7073	52868
118	7120	52712
119	7160	52509
120	7200	52304
121	7242	52119
122	7284	51937
123	7324	51746
124	7367	51573
125	7421	51480
126	7480	51422
127	7552	51452
128	7620	51451
129	7670	51331
130	7712	51158
131	7763	51049
132	7832	51055
133	7900	51058
134	7977	51118
135	8054	51169
136	8124	51181
137	8198	51211
138	8271	51233
139	8356	51334
140	8415	51268
141	8483	51260
142	8541	51188
143	8612	51198
144	8658	51052
145	8733	51086
146	8795	51037
147	8845	50923
148	8908	50882
149	8976	50865
150	9047	50867
151	9121	50888
152	9195	50904
153	9270	50930
154	9343	50935
155	9415	50940
156	9491	50964
157	9556	50925
158	9630	50937
159	9701	50934
160	9777	50950
161	9845	50927
162	9893	50805
163	9951	50728
164	10027	50746
165	10100	50746
166	10174	50752
167	10247	50751
168	10311	50704
169	10381	50687
170	10455	50688
171	10530	50693
172	10615	50745
173	10665	50629
174	10739	50627
175	10812	50623
176	10893	50649
177	10936	50504
178	10964	50290
179	11008	50149
180	11060	50045
181	11133	50037
182	11209	50043
183	11281	50030
184	11355	50026
185	11428	50015
186	11504	50016
187	11580	50016
188	11654	50007
189	11728	49998
190	11808	50014
191	11889	50035
192	11969	50049
193	12022	49948
194	12069	49823
195	12109	49673
196	12150	49525
197	12192	49387
198	12233	49242
199	12272	49090
200	12312	48944
201	12361	48835
202	12422	48771
203	12495	48756
204	12565	48728
205	12630	48683
206	12697	48641
207	12757	48578
208	12856	48657
209	12910	48568
210	12970	48501
211	13042	48480
212	13104	48418
213	13148	48291
214	13197	48185
215	13250	48095
216	13323	48074
217	13393	48044
218	13454	47982
219	13519	47932
220	13591	47908
221	13652	47844
222	13712	47780
223	13833	47923
224	13910	47912
225	13970	47844
226	14031	47781
227	14097	47732
228	14160	47675
229	14211	47579
230	14252	47446
231	14313	47383
232	14384	47350
233	14458	47331
234	14536	47322
235	14613	47307
236	14683	47270
237	14758	47251
238	14832	47226
239	14907	47208
240	14982	47184
241	15070	47203
242	15128	47127
243	15182	47041
244	15243	46974
245	15290	46865
246	15331	46739
247	15382	46644
248	15450	46598
249	15520	46561
250	15588	46515
251	15653	46464
252	15731	46448
253	15802	46411
254	15882	46401
255	15944	46339
256	16029	46343
257	16100	46305
258	16177	46283
259	16240	46222
260	16314	46193
261	16375	46125
262	16417	46006
263	16468	45911
264	16536	45864
265	16611	45838
266	16684	45805
267	16758	45774
268	16836	45751
269	16921	45750
270	16992	45710
271	17046	45625
272	17093	45518
273	17132	45395
274	17172	45272
275	17212	45150
276	17251	45027
277	17328	45005
278	17375	44901
279	17437	44840
280	17490	44753
281	17533	44641
282	17597	44583
283	17671	44553
284	17737	44499
285	17800	44437
286	17874	44406
287	17951	44379
288	18022	44338
289	18094	44300
290	18157	44240
291	18229	44200
292	18301	44161
293	18369	44112
294	18436	44060
295	18503	44007
296	18564	43941
297	18607	43832
298	18655	43737
299	18717	43674
300	18778	43608
301	18860	43592
302	18927	43539
303	18993	43486
304	19052	43415
305	19112	43347
306	19168	43268
307	19224	43192
308	19276	43106
309	19328	43020
310	19384	42944
311	19450	42891
312	19532	42870
313	19591	42801
314	19648	42728
315	19691	42623
316	19739	42529
317	19794	42452
318	19859	42395
319	19918	42327
320	19995	42295
321	20054	42225
322	20115	42160
323	20179	42103
324	20254	42066
325	20316	42004
326	20388	41962
327	20438	41872
328	20483	41776
329	20536	41695
330	20596	41628
331	20661	41571
332	20730	41523
333	20774	41424
334	20828	41346
335	20886	41276
336	20947	41210
337	21011	41153
338	21073	41090
339	21146	41049
340	21221	41011
341	21291	40964
342	21349	40894
343	21408	40826
344	21470	40763
345	21539	40712
346	21605	40658
347	21673	40606
348	21751	40574
349	21808	40500
350	21848	40398
351	21903	40322
352	21960	40250
353	22018	40180
354	22070	40100
355	22111	39998
356	22151	39897
357	22192	39797
358	22232	39696
359	22272	39594
360	22311	39493
361	22353	39397
362	22403	39314
363	22473	39267
364	22540	39214
365	22603	39154
366	22665	39094
367	22727	39032
368	22790	38972
369	22853	38912
370	22906	38836
371	22950	38745
372	22993	38651
373	23050	38581
374	23107	38512
375	23176	38462
376	23240	38405
377	23303	38345
378	23362	38279
379	23424	38219
380	23500	38179
381	23565	38123
382	23634	38074
383	23698	38015
384	23759	37953
385	23833	37910
386	23896	37851
387	23983	37830
388	24051	37777
389	24095	37687
390	24149	37613
391	24216	37560
392	24289	37516
393	24363	37473
394	24431	37420
395	24504	37376
396	24575	37327
397	24646	37279
398	24718	37232
399	24791	37187
400	24859	37134
401	24932	37087
402	25008	37047
403	25081	37001
404	25132	36922
405	25186	36848
406	25247	36784
407	25306	36719
408	25378	36671
409	25442	36612
410	25526	36582
411	25592	36525
412	25668	36482
413	25728	36417
414	25798	36366
415	25859	36303
416	25919	36237
417	25992	36190
418	26062	36139
419	26132	36087
420	26211	36048
421	26263	35972
422	26311	35890
423	26384	35843
424	26492	35842
425	26571	35803
426	26635	35742
427	26679	35655
428	26728	35575
429	26789	35511
430	26857	35456
431	26947	35431
432	27022	35385
433	27070	35304
434	27117	35222
435	27158	35131
436	27198	35040
437	27238	34950
438	27278	34859
439	27318	34768
440	27359	34679
441	27408	34602
442	27480	34551
443	27558	34509
444	27628	34457
445	27703	34411
446	27785	34374
447	27849	34315
448	27913	34254
449	27998	34219
450	28084	34187
451	28162	34143
452	28224	34081
453	28294	34028
454	28360	33969
455	28405	33887
456	28484	33844
457	28525	33757
458	28581	33687
459	28658	33642
460	28724	33584
461	28776	33510
462	28845	33456
463	28916	33403
464	28984	33347
465	29055	33295
466	29132	33249
467	29204	33198
468	29278	33148
469	29351	33098
470	29414	33037
471	29473	32970
472	29516	32886
473	29571	32815
474	29638	32758
475	29711	32707
476	29777	32649
477	29845	32592
478	29909	32532
479	29986	32485
480	30055	32429
481	30127	32377
482	30196	32322
483	30268	32269
484	30329	32205
485	30398	32150
486	30470	32096
487	30538	32039
488	30582	31958
489	30629	31879
490	30729	31856
491	30777	31778
492	30836	31711
493	30897	31648
494	30971	31596
495	31044	31545
496	31118	31494
497	31186	31437
498	31258	31383
499	31323	31323
500	31392	31267
501	31468	31218
502	31536	31160
503	31604	31102
504	31652	31025
505	31695	30943
506	31757	30880
507	31821	30819
508	31898	30770
509	31976	30722
510	32045	30666
511	32091	30587
512	32132	30504
513	32174	30421
514	32215	30338
515	32262	30261
516	32304	30179
517	32344	30096
518	32390	30019
519	32451	29955
520	32514	29893
521	32580	29834
522	32653	29781
523	32721	29723
524	32763	29643
525	32805	29562
526	32872	29504
527	32961	29465
528	33021	29401
529	33083	29337
530	33153	29282
531	33211	29215
532	33280	29159
533	33330	29085
534	33374	29007
535	33417	28928
536	33478	28864
537	33550	28811
538	33615	28750
539	33686	28695
540	33756	28640
541	33810	28570
542	33852	28491
543	33896	28412
544	33956	28349
545	34031	28296
546	34101	28241
547	34175	28188
548	34240	28128
549	34308	28070
550	34372	28009
551	34436	27948
552	34510	27895
553	34584	27842
554	34656	27787
555	34719	27726
556	34774	27657
557	34832	27591
558	34901	27534
559	34944	27456
560	34988	27379
561	35049	27315
562	35121	27261
563	35201	27212
564	35274	27158
565	35331	27091
566	35401	27035
567	35470	26977
568	35539	26919
569	35602	26857
570	35668	26798
571	35743	26745
572	35809	26684
573	35883	26631
574	35954	26575
575	36015	26511
576	36055	26432
577	36102	26358
578	36169	26299
579	36235	26239
580	36312	26187
581	36385	26132
582	36458	26077
583	36529	26020
584	36601	25964
585	36674	25909
586	36746	25853
587	36810	25792
588	36872	25729
589	36947	25675
590	37019	25619
591	37091	25563
592	37135	25487
593	37175	25409
594	37215	25331
595	37255	25254
596	37295	25176
597	37335	25098
598	37375	25021
599	37444	24963
600	37497	24894
601	37563	24834
602	37638	24780
603	37706	24721
604	37778	24665
605	37851	24609
606	37919	24550
607	37989	24492
608	38057	24434
609	38126	24376
610	38189	24313
611	38232	24238
612	38285	24170
613	38355	24112
614	38427	24055
615	38507	24004
616	38577	23946
617	38644	23887
618	38724	23835
619	38792	23776
620	38865	23719
621	38934	23661
622	39001	23601
623	39061	23536
